Intersection_Name,Cycle,Phase_NS,Phase_EW
304THN,15,56,56
NVCNVL,15,56,56
NVCCMT8,15,56,56
32THN,15,56,56
32NVL,15,61,51
304NVL,15,10,102
32MT,15,56,56
NVCMT,16,56,56
304THN,16,56,56
NVCNVL,16,56,56
NVCCMT8,16,56,56
32THN,16,56,56
32NVL,16,76,36
304NVL,16,10,102
32MT,16,56,56
NVCMT,17,56,56
304THN,17,56,56
NVCNVL,17,56,56
NVCCMT8,17,56,56
32THN,17,56,56
32NVL,17,102,10
304NVL,17,10,102
32MT,17,56,56
NVCMT,18,56,56
304THN,18,56,56
NVCNVL,18,10,102
NVCCMT8,18,56,56
32THN,18,56,56
32NVL,18,56,56
304NVL,18,12,100
32MT,18,21,91
NVCMT,19,56,56
304THN,19,56,56
NVCNVL,19,56,56
NVCCMT8,19,56,56
32THN,19,56,56
32NVL,19,102,10
304NVL,19,10,102
32MT,19,56,56
NVCMT,20,56,56
304THN,20,56,56
NVCNVL,20,10,102
NVCCMT8,20,56,56
32THN,20,56,56
32NVL,20,61,51
304NVL,20,10,102
32MT,20,56,56
NVCMT,21,56,56
304THN,21,56,56
NVCNVL,21,56,56
NVCCMT8,21,56,56
32THN,21,56,56
32NVL,21,80,32
304NVL,21,10,102
32MT,21,56,56
NVCMT,22,56,56
304THN,22,56,56
NVCNVL,22,56,56
NVCCMT8,22,56,56
32THN,22,56,56
304NVL,22,10,102
32NVL,22,102,10
32MT,22,56,56
NVCMT,23,56,56
304THN,23,56,56
NVCNVL,23,56,56
NVCCMT8,23,56,56
32THN,23,56,56
32NVL,23,102,10
32MT,23,10,102
304NVL,23,10,102
NVCMT,24,56,56
304THN,24,56,56
NVCNVL,24,10,102
NVCCMT8,24,56,56
32THN,24,56,56
32NVL,24,56,56
32MT,24,56,56
304NVL,24,37,75
NVCMT,25,56,56
304THN,25,56,56
NVCNVL,25,56,56
NVCCMT8,25,56,56
32THN,25,56,56
32NVL,25,102,10
32MT,25,49,63
304NVL,25,10,102
NVCMT,26,56,56
304THN,26,56,56
NVCNVL,26,56,56
NVCCMT8,26,56,56
32THN,26,56,56
32NVL,26,57,55
32MT,26,56,56
304NVL,26,10,102
NVCMT,27,56,56
304THN,27,56,56
NVCNVL,27,56,56
NVCCMT8,27,56,56
32THN,27,56,56
32NVL,27,102,10
32MT,27,25,87
304NVL,27,10,102
NVCMT,28,56,56
304THN,28,56,56
NVCNVL,28,56,56
NVCCMT8,28,56,56
32THN,28,56,56
32NVL,28,102,10
304NVL,28,15,97
32MT,28,56,56
NVCMT,29,56,56
304THN,29,56,56
NVCNVL,29,10,102
NVCCMT8,29,56,56
32THN,29,56,56
32NVL,29,53,59
32MT,29,33,79
304NVL,29,17,95
NVCMT,30,56,56
304THN,30,56,56
NVCNVL,30,56,56
NVCCMT8,30,56,56
32THN,30,56,56
32NVL,30,102,10
32MT,30,54,58
304NVL,30,10,102
NVCMT,31,56,56
304THN,31,56,56
NVCNVL,31,10,102
NVCCMT8,31,56,56
32THN,31,56,56
32NVL,31,102,10
304NVL,31,10,102
32MT,31,10,102
NVCMT,32,56,56
304THN,32,56,56
NVCNVL,32,56,56
NVCCMT8,32,56,56
32THN,32,56,56
32NVL,32,102,10
304NVL,32,10,102
32MT,32,56,56
