Intersection_Name,Cycle,Phase_NS,Phase_EW
NVCNVL,15,56,56
NVCCMT8,15,56,56
32THN,15,56,56
NVCMT,15,56,56
32NVL,15,26,86
304NVL,15,10,102
32MT,15,56,56
304THN,16,56,56
NVCNVL,16,10,102
NVCCMT8,16,56,56
32THN,16,56,56
NVCMT,16,56,56
32NVL,16,102,10
304NVL,16,10,102
32MT,16,13,99
304THN,17,56,56
NVCNVL,17,10,102
NVCCMT8,17,56,56
32THN,17,56,56
NVCMT,17,56,56
32NVL,17,71,41
304NVL,17,10,102
32MT,17,56,56
304THN,18,56,56
NVCNVL,18,56,56
NVCCMT8,18,56,56
32THN,18,56,56
NVCMT,18,56,56
304NVL,18,10,102
32NVL,18,102,10
32MT,18,22,90
304THN,19,56,56
NVCNVL,19,56,56
NVCCMT8,19,56,56
32THN,19,56,56
NVCMT,19,56,56
304NVL,19,10,102
32NVL,19,65,47
32MT,19,47,65
304THN,20,56,56
NVCNVL,20,56,56
NVCCMT8,20,56,56
32THN,20,56,56
NVCMT,20,56,56
304NVL,20,10,102
32NVL,20,102,10
32MT,20,51,61
304THN,21,56,56
NVCNVL,21,56,56
NVCCMT8,21,10,102
32THN,21,56,56
NVCMT,21,56,56
304NVL,21,29,83
32NVL,21,22,90
32MT,21,56,56
304THN,22,56,56
NVCNVL,22,10,102
NVCCMT8,22,56,56
32THN,22,56,56
NVCMT,22,56,56
304NVL,22,10,102
32NVL,22,102,10
32MT,22,28,84
304THN,23,56,56
NVCNVL,23,56,56
NVCCMT8,23,56,56
32THN,23,56,56
NVCMT,23,10,102
304NVL,23,10,102
32NVL,23,77,35
32MT,23,56,56
304THN,24,56,56
NVCNVL,24,10,102
NVCCMT8,24,56,56
32THN,24,56,56
NVCMT,24,56,56
304NVL,24,10,102
32NVL,24,92,20
32MT,24,70,42
304THN,25,56,56
NVCNVL,25,56,56
NVCCMT8,25,56,56
32THN,25,56,56
NVCMT,25,56,56
304NVL,25,10,102
32NVL,25,102,10
32MT,25,13,99
304THN,26,56,56
NVCNVL,26,10,102
NVCCMT8,26,56,56
32THN,26,56,56
NVCMT,26,56,56
304NVL,26,49,63
32NVL,26,56,56
32MT,26,56,56
304THN,27,56,56
NVCNVL,27,56,56
NVCCMT8,27,56,56
32THN,27,56,56
NVCMT,27,56,56
304NVL,27,10,102
32NVL,27,102,10
32MT,27,48,64
304THN,28,56,56
NVCNVL,28,56,56
NVCCMT8,28,56,56
32THN,28,56,56
NVCMT,28,56,56
304NVL,28,20,92
32NVL,28,59,53
32MT,28,71,41
304THN,29,56,56
NVCNVL,29,56,56
NVCCMT8,29,56,56
32THN,29,56,56
NVCMT,29,56,56
304NVL,29,10,102
32NVL,29,102,10
32MT,29,35,77
304THN,30,56,56
NVCNVL,30,10,102
NVCCMT8,30,56,56
32THN,30,56,56
NVCMT,30,56,56
304NVL,30,10,102
32NVL,30,102,10
32MT,30,56,56
304THN,31,56,56
NVCNVL,31,56,56
NVCCMT8,31,56,56
32THN,31,56,56
NVCMT,31,56,56
304NVL,31,10,102
32NVL,31,102,10
32MT,31,29,83
304THN,32,56,56
NVCNVL,32,10,102
NVCCMT8,32,56,56
32THN,32,56,56
NVCMT,32,56,56
304NVL,32,10,102
32NVL,32,102,10
32MT,32,55,57
304THN,33,56,56
NVCNVL,33,56,56
NVCCMT8,33,56,56
32THN,33,56,56
NVCMT,33,56,56
304NVL,33,10,102
32NVL,33,93,19
32MT,33,42,70
304THN,34,56,56
NVCNVL,34,10,102
NVCCMT8,34,56,56
32THN,34,56,56
NVCMT,34,56,56
304NVL,34,10,102
32NVL,34,102,10
32MT,34,17,95
304THN,35,56,56
NVCNVL,35,56,56
NVCCMT8,35,56,56
32THN,35,56,56
NVCMT,35,10,102
304NVL,35,10,102
32NVL,35,88,24
32MT,35,56,56
304THN,36,56,56
NVCNVL,36,10,102
NVCCMT8,36,56,56
32THN,36,56,56
NVCMT,36,56,56
304NVL,36,32,80
32NVL,36,56,56
32MT,36,33,79
304THN,37,56,56
NVCNVL,37,56,56
NVCCMT8,37,56,56
32THN,37,56,56
NVCMT,37,56,56
304NVL,37,10,102
32NVL,37,102,10
32MT,37,50,62
304THN,38,56,56
NVCNVL,38,10,102
NVCCMT8,38,10,102
32THN,38,56,56
NVCMT,38,56,56
304NVL,38,10,102
32NVL,38,51,61
32MT,38,56,56
304THN,39,56,56
NVCNVL,39,56,56
NVCCMT8,39,56,56
32THN,39,56,56
NVCMT,39,56,56
304NVL,39,10,102
32NVL,39,80,32
32MT,39,56,56
304THN,40,56,56
NVCNVL,40,56,56
NVCCMT8,40,56,56
32THN,40,56,56
NVCMT,40,14,98
304NVL,40,10,102
32NVL,40,102,10
32MT,40,33,79
304THN,41,56,56
NVCNVL,41,10,102
NVCCMT8,41,56,56
32THN,41,56,56
NVCMT,41,56,56
304NVL,41,10,102
32NVL,41,53,59
32MT,41,61,51
304THN,42,56,56
NVCNVL,42,56,56
NVCCMT8,42,56,56
32THN,42,56,56
NVCMT,42,56,56
304NVL,42,10,102
32NVL,42,102,10
32MT,42,12,100
304THN,43,56,56
NVCNVL,43,56,56
NVCCMT8,43,56,56
32THN,43,56,56
NVCMT,43,56,56
304NVL,43,10,102
32NVL,43,102,10
32MT,43,65,47
304THN,44,56,56
NVCNVL,44,56,56
NVCCMT8,44,56,56
32THN,44,56,56
NVCMT,44,56,56
304NVL,44,41,71
32NVL,44,56,56
32MT,44,56,56
304THN,45,56,56
NVCNVL,45,56,56
NVCCMT8,45,56,56
32THN,45,56,56
NVCMT,45,56,56
304NVL,45,10,102
32NVL,45,99,13
32MT,45,10,102
304THN,46,56,56
NVCNVL,46,10,102
NVCCMT8,46,10,102
32THN,46,56,56
NVCMT,46,56,56
304NVL,46,10,102
32NVL,46,80,32
32MT,46,56,56
304THN,47,56,56
NVCNVL,47,56,56
NVCCMT8,47,56,56
32THN,47,56,56
NVCMT,47,56,56
304NVL,47,56,56
32NVL,47,102,10
32MT,47,42,70
304THN,48,56,56
NVCNVL,48,10,102
NVCCMT8,48,56,56
32THN,48,56,56
NVCMT,48,56,56
304NVL,48,10,102
32NVL,48,102,10
32MT,48,21,91
304THN,49,56,56
NVCNVL,49,56,56
NVCCMT8,49,56,56
32THN,49,56,56
NVCMT,49,56,56
304NVL,49,46,66
32NVL,49,10,102
32MT,49,56,56
304THN,50,56,56
NVCNVL,50,10,102
NVCCMT8,50,56,56
32THN,50,56,56
NVCMT,50,56,56
304NVL,50,10,102
32NVL,50,102,10
32MT,50,18,94
304THN,51,56,56
NVCNVL,51,56,56
NVCCMT8,51,56,56
32THN,51,56,56
NVCMT,51,31,81
304NVL,51,10,102
32NVL,51,96,16
32MT,51,56,56
304THN,52,56,56
NVCNVL,52,56,56
NVCCMT8,52,56,56
32THN,52,56,56
NVCMT,52,10,102
304NVL,52,83,29
32NVL,52,56,56
32MT,52,56,56
304THN,53,56,56
NVCNVL,53,10,102
NVCCMT8,53,56,56
32THN,53,56,56
NVCMT,53,56,56
304NVL,53,10,102
32NVL,53,102,10
32MT,53,37,75
304THN,54,56,56
NVCNVL,54,56,56
NVCCMT8,54,56,56
32THN,54,56,56
NVCMT,54,56,56
304NVL,54,10,102
32NVL,54,102,10
32MT,54,45,67
304THN,55,56,56
NVCNVL,55,10,102
NVCCMT8,55,56,56
32THN,55,56,56
NVCMT,55,102,10
304NVL,55,21,91
32NVL,55,56,56
32MT,55,56,56
304THN,56,56,56
NVCNVL,56,56,56
NVCCMT8,56,56,56
32THN,56,56,56
NVCMT,56,56,56
304NVL,56,10,102
32NVL,56,102,10
32MT,56,25,87
304THN,57,56,56
NVCNVL,57,56,56
NVCCMT8,57,56,56
32THN,57,56,56
NVCMT,57,56,56
304NVL,57,10,102
32NVL,57,102,10
32MT,57,37,75
304THN,58,56,56
NVCNVL,58,56,56
NVCCMT8,58,56,56
32THN,58,56,56
NVCMT,58,56,56
304NVL,58,20,92
32NVL,58,102,10
32MT,58,27,85
304THN,59,56,56
NVCNVL,59,10,102
NVCCMT8,59,56,56
32THN,59,56,56
NVCMT,59,56,56
304NVL,59,10,102
32NVL,59,45,67
32MT,59,56,56
304THN,60,56,56
NVCNVL,60,56,56
NVCCMT8,60,56,56
32THN,60,56,56
NVCMT,60,13,99
304NVL,60,10,102
32NVL,60,102,10
32MT,60,13,99
304THN,61,56,56
NVCNVL,61,10,102
NVCCMT8,61,56,56
32THN,61,56,56
NVCMT,61,102,10
304NVL,61,71,41
32NVL,61,10,102
32MT,61,56,56
304THN,62,56,56
NVCNVL,62,56,56
NVCCMT8,62,56,56
32THN,62,56,56
NVCMT,62,56,56
304NVL,62,10,102
32NVL,62,102,10
32MT,62,27,85
304THN,63,56,56
NVCNVL,63,10,102
NVCCMT8,63,56,56
32THN,63,56,56
NVCMT,63,56,56
304NVL,63,10,102
32NVL,63,102,10
32MT,63,56,56
304THN,64,56,56
NVCNVL,64,56,56
NVCCMT8,64,56,56
32THN,64,56,56
NVCMT,64,56,56
304NVL,64,50,62
32NVL,64,56,56
32MT,64,49,63
